URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/100102732700072,Broken_hearted,moneyiseverythink009,2023-10-02,yes,10027,English,no,0,0
www.facebook.com/100102756486480,Ren in Japan 2,,2023-10-03,no,50202,,no,1,1371
www.facebook.com/100102815184707,C Paul el Multifacético,cpaulelmultifacetico,2023-07-11,no,7082,Spanish,no,0,13860
www.facebook.com/100102819574468,Cézsiä Perez,aizsec.zerep,2023-04-22,no,7674,English,no,16,1092
www.facebook.com/100102822995996,Juan Ruiz,,2023-07-11,no,8705,Spanish,no,0,0
www.facebook.com/100102848220055,Laam หรั่ง ติดดอย,Laamcover,2023-08-15,no,7134,Thai,no,1,79993
www.facebook.com/100102849839591,Cheila Ramalho Felix,,2023-09-29,no,10983,Hindi,no,0,3
www.facebook.com/100102851928355,Mr & Mrs kahlon,Mrmrskahlong,2022-03-10,no,126417,English,no,2,53557
www.facebook.com/100102876068801,Đời Sống Quê,,2023-08-28,yes,2539,Vietnamese,no,11,33230
www.facebook.com/100102928163956,Atv Español,atvEspanol,2021-09-30,no,346924,Spanish,yes,13,11011
www.facebook.com/100102928773206,Klo,KloGameON,2023-02-20,yes,6499,Lithuanian,no,0,0
www.facebook.com/100102936212788,El mono,,2023-04-16,no,11322,,no,0,520
www.facebook.com/100102950474489,Danetetecomedyy,danetetecomedyy,2023-09-26,no,51302,English,no,3,11411
www.facebook.com/100103006255445,Alfred Domingo,alfredjr.domingo,2023-04-27,no,9048,English,no,3,83
www.facebook.com/100103056303853,Harque Yas Kuizon Pyang,harque.pyang,2023-04-01,no,7753,English,no,0,0
www.facebook.com/100103059606296,Yma Yvra,YMAYVRA,2023-10-05,no,9305,Tagalog,no,0,0
www.facebook.com/100103085470350,El Totonaco Makatsinan,ElTotonacoMakatsinan,2023-04-27,no,22672,Spanish,no,12,637
www.facebook.com/100103159581594,Sheryl Reyes,hagupitsherylreyes,2023-06-05,no,9874,English,no,2,113
www.facebook.com/100103161793357,Muta penda officiel,moutapendaofficiel,2023-01-20,no,345566,French,no,0,6554
www.facebook.com/100103202934053,Ednalin Laplana Zhang,,2023-09-18,no,5475,English,no,3,287
www.facebook.com/100103216085500,Ajay Menu,,2023-08-24,no,348321,English,no,13,3864
www.facebook.com/100103223016926,Muntasir Mamun BD$,mamunvi97,2023-08-02,no,5128,,no,1,137
www.facebook.com/100103256250285,Rk Ruman Ahmed,ruman.miah.1426876,2023-09-17,no,7718,Bengali,no,7,59
www.facebook.com/100103258902674,Thisisdada,thisiskwanthiti,2023-08-02,no,528968,Thai,no,0,0
www.facebook.com/100103266195952,Ruhul Amin Rahat,kmrahat8,2023-06-19,no,5994,English,no,0,0
www.facebook.com/100103276278095,𝐒𝐨𝐲 𝐕𝐢𝐥𝐦𝐚 𝐄𝐜,SoyVilmaec,2023-08-02,no,8187,,no,1,4143
www.facebook.com/100103279324583,Maestrita María Belén,mariabelenfelicidad,2023-04-27,no,29557,Spanish,no,0,0
www.facebook.com/100103286322283,Wittaya Krasasom,,2023-04-18,no,7859,Thai,no,0,0
www.facebook.com/100103296278969,Marvin Onsana,vino.onsana,2023-02-21,no,56357,English,no,0,0
