URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/100101719669099,Merelyn Mabanes Mandafe,Merelyn Mabanes Mandafe,2023-04-01,460,English,no,17,60
https://www.facebook.com/100101735970331,Rahma Hassan Makeup Artist,Rahma Hassan Makeup Artist,2023-04-03,9683,,no,0,3553
https://www.facebook.com/100101755826521,chefboylee,chefboylee,2023-07-02,6316,,no,0,0
https://www.facebook.com/100101756087689,Assam  team,Assam  team,2023-04-14,4685,,no,1,558
https://www.facebook.com/100101759527918,Regina Alvarez,ReginaAlvarezSotelo,2023-09-06,9769,Spanish,no,0,128
https://www.facebook.com/100101789473282,Jhem Mijares-Salvador,Jhem Mijares-Salvador,2023-04-01,819,English,no,3,220
https://www.facebook.com/100101826335995,Ashri Pratapji,Ashri Pratapji,2023-09-28,28682,English,no,2,1560
https://www.facebook.com/100101833014975,Susmita Halder,Susmita Halder,2023-04-18,1130,English,no,41,58
https://www.facebook.com/100101838404688,El Mr Moon.,ElMrMoon,2023-08-24,50388,Spanish,no,0,0
https://www.facebook.com/100101842995995,Jack Oliver,Jack Oliver,2023-03-18,2587,English,no,1,1183
https://www.facebook.com/100101866243555,Praji Koladan,Praji Koladan,2022-11-01,55114,English,no,25,1530
https://www.facebook.com/100101906030262,Stephanie Unger Hulseberg,Stephanie Unger Hulseberg,2022-12-16,188,,no,0,183
https://www.facebook.com/100101912934371,Mintu Susmita Biswas,Mintu Susmita Biswas,2023-04-22,853,English,no,1,354
https://www.facebook.com/100101928504829,Piu Makeup World,piumakeupworld,2022-09-25,75989,Bengali,no,1,4472
